industry,num_code,full_code,index
原材料,002054,SZ002054,SH000071
信息技术,002055,SZ002055,SH000077
工业,002056,SZ002056,SH000072
原材料,002057,SZ002057,SH000071
工业,002058,SZ002058,SH000072
可选消费,002059,SZ002059,SH000073
工业,002060,SZ002060,SH000072
工业,002061,SZ002061,SH000072
工业,002062,SZ002062,SH000072
信息技术,002063,SZ002063,SH000077
原材料,002064,SZ002064,SH000071
信息技术,002065,SZ002065,SH000077
原材料,002066,SZ002066,SH000071
原材料,002067,SZ002067,SH000071
原材料,002068,SZ002068,SH000071
主要消费,002069,SZ002069,SH000074
工业,002072,SZ002072,SH000072
工业,002073,SZ002073,SH000072
工业,002074,SZ002074,SH000072
原材料,002075,SZ002075,SH000071
可选消费,002076,SZ002076,SH000073
信息技术,002077,SZ002077,SH000077
原材料,002078,SZ002078,SH000071
工业,002079,SZ002079,SH000072
原材料,002080,SZ002080,SH000071
工业,002081,SZ002081,SH000072
医药卫生,002082,SZ002082,SH000075
可选消费,002083,SZ002083,SH000073
工业,002084,SZ002084,SH000072
可选消费,002085,SZ002085,SH000073
主要消费,002086,SZ002086,SH000074
原材料,002088,SZ002088,SH000071
工业,002090,SZ002090,SH000072
可选消费,002091,SZ002091,SH000073
原材料,002092,SZ002092,SH000071
可选消费,002093,SZ002093,SH000073
可选消费,002094,SZ002094,SH000073
信息技术,002095,SZ002095,SH000077
原材料,002096,SZ002096,SH000071
工业,002097,SZ002097,SH000072
可选消费,002098,SZ002098,SH000073
医药卫生,002099,SZ002099,SH000075
房地产,0021.HK,SZ0021.HK,SZ399965
主要消费,002100,SZ002100,SH000074
可选消费,002101,SZ002101,SH000073
医药卫生,002102,SZ002102,SH000075
工业,002103,SZ002103,SH000072
通信服务,002104,SZ002104,SH000078
可选消费,002105,SZ002105,SH000073
信息技术,002106,SZ002106,SH000077
医药卫生,002107,SZ002107,SH000075
工业,002108,SZ002108,SH000072
原材料,002109,SZ002109,SH000071
原材料,002110,SZ002110,SH000071
工业,002111,SZ002111,SH000072
工业,002112,SZ002112,SH000072
原材料,002114,SZ002114,SH000071
通信服务,002115,SZ002115,SH000078
工业,002116,SZ002116,SH000072
工业,002117,SZ002117,SH000072
信息技术,002119,SZ002119,SH000077
工业,002120,SZ002120,SH000072
工业,002121,SZ002121,SH000072
工业,002122,SZ002122,SH000072
通信服务,002123,SZ002123,SH000078
主要消费,002124,SZ002124,SH000074
工业,002125,SZ002125,SH000072
可选消费,002126,SZ002126,SH000073
可选消费,002127,SZ002127,SH000073
原材料,002128,SZ002128,SH000071
工业,002129,SZ002129,SH000072
信息技术,002130,SZ002130,SH000077
通信服务,002131,SZ002131,SH000078
原材料,002132,SZ002132,SH000071
房地产,002133,SZ002133,SZ399965
信息技术,002134,SZ002134,SH000077
工业,002135,SZ002135,SH000072
原材料,002136,SZ002136,SH000071
信息技术,002137,SZ002137,SH000077
信息技术,002138,SZ002138,SH000077
信息技术,002139,SZ002139,SH000077
工业,002140,SZ002140,SH000072
主要消费,002141,SZ002141,SH000074
金融,002142,SZ002142,SH000076
可选消费,002144,SZ002144,SH000073
原材料,002145,SZ002145,SH000071
房地产,002146,SZ002146,SZ399965
通信服务,002148,SZ002148,SH000078
原材料,002149,SZ002149,SH000071
工业,002150,SZ002150,SH000072
通信服务,002151,SZ002151,SH000078
信息技术,002152,SZ002152,SH000077
信息技术,002153,SZ002153,SH000077
可选消费,002154,SZ002154,SH000073
原材料,002155,SZ002155,SH000071
信息技术,002156,SZ002156,SH000077
主要消费,002157,SZ002157,SH000074
工业,002158,SZ002158,SH000072
可选消费,002159,SZ002159,SH000073
原材料,002160,SZ002160,SH000071
通信服务,002161,SZ002161,SH000078
工业,002162,SZ002162,SH000072
工业,002163,SZ002163,SH000072
工业,002164,SZ002164,SH000072
原材料,002165,SZ002165,SH000071
主要消费,002166,SZ002166,SH000074
原材料,002167,SZ002167,SH000071
工业,002168,SZ002168,SH000072
工业,002169,SZ002169,SH000072
原材料,002170,SZ002170,SH000071
原材料,002171,SZ002171,SH000071
医药卫生,002172,SZ002172,SH000075
医药卫生,002173,SZ002173,SH000075
通信服务,002174,SZ002174,SH000078
工业,002175,SZ002175,SH000072
原材料,002176,SZ002176,SH000071
房地产,002177,SZ002177,SZ399965
信息技术,002178,SZ002178,SH000077
工业,002179,SZ002179,SH000072
信息技术,002180,SZ002180,SH000077
通信服务,002181,SZ002181,SH000078
原材料,002182,SZ002182,SH000071
工业,002183,SZ002183,SH000072
工业,002184,SZ002184,SH000072
信息技术,002185,SZ002185,SH000077
可选消费,002186,SZ002186,SH000073
可选消费,002187,SZ002187,SH000073
房地产,002188,SZ002188,SZ399965
信息技术,002189,SZ002189,SH000077
